;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
508;Fieldfare;Turdus pilaris;NA;Forest - Temperate & Forest - Boreal;;;;;;;21700000;NA;NA;Migratory
509;Tickell's Thrush;Turdus unicolor;NA;Forest - Temperate;;;;;;;617000;2400;1200;Migratory
510;Emerald-spotted Wood-dove;Turtur chalcospilos;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;;;;;;;12300000;2000;NA;Resident
511;Miombo scrub robin;Tychaedon barbata;Cercotrichas barbata;Savanna - Dry;;;;;;;NA;NA;NA;NA
512;Tropical Kingbird;Tyrannus melancholicus;NA;Shrubland - Subtropical/Tropical Dry & Shrubland - Subtropical/Tropical Moist;;;;;;;23100000;3100;NA;Migratory
513;Common Barn-owl;Tyto alba;NA;Artificial/Terrestrial - Arable Land & Artificial/Terrestrial - Pastureland & Savanna - Dry;;;;;;;330000000;4000;NA;Resident
514;Common Scale-backed Antbird;Willisornis poecilinotus;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;6490000;1350;NA;Resident
515;Spectacled Tetraka;Xanthomixis zosterops;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;445000;NA;NA;Resident
516;Rufous-collared Sparrow;Zonotrichia capensis;NA;Artificial/Terrestrial - Arable Land & Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;25500000;3500;NA;Migratory
517;White-crowned Sparrow;Zonotrichia leucophrys;NA;Forest - Boreal & Shrubland - Temperate & Grassland - Tundra;Insectivorous;Ground and Shrub;Open;Ground and Shrub;Yes;Brood parasite: Brown-headed Cowbird;10600000;NA;NA;Migratory
518;Vanuatu White-eye;Zosterops flavifrons;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;117000;NA;NA;Resident
519;Annobon White-eye;Zosterops griseovirescens;NA;Artificial/Terrestrial - Plantations & Forest - Subtropical/Tropical Moist Lowland;;;;;;;17;655;NA;Resident
520;Silvereye;Zosterops lateralis;NA;Forest - Temperate & Shrubland - Subtropical/Tropical Dry;;;;;;;21100000;1850;NA;Migratory
521;African Yellow White-eye;Zosterops senegalensis;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;;;;;;;19600000;1600;NA;Resident
522;Green-backed White-eye;Zosterops xanthochroa;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;52100;1000;NA;Resident
